es,en,scores,qualify,Espanish_length,English_length,zero,uno,dos,zero,uno,dos
Ese man no copea de derechos humanos 🤯,That man doesn't copy human rights 🤯,0.0,neutral,38,36,0.5027219197866905,0.09,0.0821256038647343,0.5027219197866905,0.09,0.0821256038647343
Este man tiene un fetiche con meter presos a la gente,This guy has a fetish for putting people in jail,0.0,neutral,53,48,0.5027219197866905,0.1275,0.1111111111111111,0.5027219197866905,0.1275,0.1111111111111111
Aquí en Colombia prefieren liberarlos porque están muy llenas las cárceles!!,Here in Colombia they prefer to release them because the jails are very full!!,0.0,neutral,76,78,0.5027219197866905,0.185,0.18357487922705315,0.5027219197866905,0.185,0.18357487922705315
"Esto es lo que necesitamos en Colombia. Pero contrario a ello, acá se les premia, se les paga y se les defiende.","This is what we need in Colombia. But contrary to this, here they are rewarded, paid and defended.",0.6486,positive,112,98,0.8630152205310522,0.275,0.2318840579710145,0.8630152205310522,0.275,0.2318840579710145
Petro debería ver esto y aprender,Petro should see this and learn,0.0,neutral,33,31,0.5027219197866905,0.0775,0.07004830917874397,0.5027219197866905,0.0775,0.07004830917874397
"El sueño salvadoreño, ese país promete","The Salvadoran dream, that country promises",0.5574,positive,38,43,0.8123541828685703,0.09,0.09903381642512077,0.8123541828685703,0.09,0.09903381642512077
Aca petro los quiere sacar de las carceles y pagarles de nuestros impuestos un salario.,Here Petro wants to get them out of prison and pay them a salary from our taxes.,-0.5719,negative,87,80,0.18503499611154323,0.2125,0.18840579710144928,0.18503499611154323,0.2125,0.18840579710144928
De donde van a salir 40mil gestores de paz? 🤔,"Where are 40,000 peace managers going to come from? 🤔",0.5423,positive,45,53,0.8039662259748919,0.1075,0.12318840579710144,0.8039662259748919,0.1075,0.12318840579710144
Cuando tendremos un presidente de esos en Colombia,When will we have a president of those in Colombia?,0.0,neutral,50,51,0.5027219197866905,0.12,0.11835748792270531,0.5027219197866905,0.12,0.11835748792270531
A los petriguerrilleros no les gusta esto 😂,Petriguerrilleros don't like this 😂,-0.2755,negative,43,35,0.34968336851460957,0.1025,0.07971014492753624,0.34968336851460957,0.1025,0.07971014492753624
"Aquí en Colombia no se necesitan cárceles así pues los narcos, terroristas y guerrilleros están en la presidencia, congreso y en las calles, estos últimos se hacen llamar la primera línea y al igual que los anteriores, también reciben salario de nuestros impuestos.","Here in Colombia prisons are not needed, so drug traffickers, terrorists and guerrillas are in the presidency, congress and in the streets, the latter call themselves the front line and, like the former, they also receive a salary from our taxes.",-0.4336,negative,265,246,0.26185979335629384,0.6575,0.5893719806763285,0.26185979335629384,0.6575,0.5893719806763285
Petro rechazando esa inversión en 3 2 1 @gustavopetrourrego cachon,Petro rejecting that investment in 3 2 1 @gustavopetrourrego cachon,-0.4588,negative,66,67,0.2478613487390291,0.16,0.1570048309178744,0.2478613487390291,0.16,0.1570048309178744
"En Colombia ser pillo, ampon, sicario etc. Paga....","In Colombia, being a crook, an ampon, a hit man, etc. Pay....",0.0,neutral,51,61,0.5027219197866905,0.1225,0.14251207729468598,0.5027219197866905,0.1225,0.14251207729468598
En Colombia urge un Bukele,"In Colombia, a Bukele is urgently needed",0.0,neutral,26,40,0.5027219197866905,0.060000000000000005,0.09178743961352658,0.5027219197866905,0.060000000000000005,0.09178743961352658
Señor venga a ser presidente en Colombia,Lord come be president in Colombia,0.0,neutral,40,34,0.5027219197866905,0.095,0.07729468599033816,0.5027219197866905,0.095,0.07729468599033816
Y acá son gestores de paz,And here they are peace managers,0.5423,positive,25,32,0.8039662259748919,0.0575,0.07246376811594203,0.8039662259748919,0.0575,0.07246376811594203
"Tan difícil es tener un presidente con los huevos bien parados para enfrentar a la delincuencia y darles lo que se merecen. Qué sufrimiento, acá mientras tanto queriendo quitar los crimenes para que la taza de delincuencia baje. 🤢🤢🤢🤢","It is so difficult to have a president with the balls well standing to face crime and give them what they deserve. What suffering, here meanwhile wanting to eliminate crimes so that the crime rate goes down. 🤢🤢🤢🤢",-0.905,negative,233,212,0.0,0.5775,0.5072463768115941,0.0,0.5775,0.5072463768115941
"Lo mismo, que toca hacer en colombia para que los jueces no salgan diciendo , que no hay lugar en las cárceles y dejarlos de nuevo en libertad.","The same thing, which has to be done in Colombia so that the judges do not come out saying that there is no place in prisons and let them go free again.",0.2732,positive,143,152,0.654482835240529,0.3525,0.3623188405797101,0.654482835240529,0.3525,0.3623188405797101
"Ojalá inaugure muchas universidades también…pues, si quiere..es opcional 🤷🏻‍♂️","I hope I open many universities too...well, if you want...it's optional 🤷🏻‍♂️",0.4404,positive,78,77,0.7473614042884125,0.19,0.18115942028985507,0.7473614042884125,0.19,0.18115942028985507
Ya no es el sueño americano sino el sueño Salvadoreño 👏,It is no longer the American dream but the Salvadoran dream 👏,0.34,positive,55,61,0.6915898233529609,0.1325,0.14251207729468598,0.6915898233529609,0.1325,0.14251207729468598
Espectacular... y acá los quieren dejar libres para que no se depriman.,Spectacular... and here they want to set them free so they don't get depressed.,0.7432,positive,71,79,0.9155649372291969,0.1725,0.1859903381642512,0.9155649372291969,0.1725,0.1859903381642512
Será que @gustavopetrourrego puede aprender lo que significa ser un verdadero presidente y dirigente ?,Could it be that @gustavopetrourrego can learn what it means to be a true president and leader?,0.4215,positive,102,95,0.7368625708254639,0.25,0.2246376811594203,0.7368625708254639,0.25,0.2246376811594203
"Este es el presidente que necesita Colombia, acá el crimen paga","This is the president that Colombia needs, here crime pays",-0.5423,negative,63,58,0.2014776135984891,0.1525,0.13526570048309178,0.2014776135984891,0.1525,0.13526570048309178
"Colombia en materia de justicia, está involucionando.","Colombia in terms of justice, is regressing.",0.5267,positive,53,44,0.795300522164204,0.1275,0.10144927536231885,0.795300522164204,0.1275,0.10144927536231885
"En Colombia están en el congreso, o son gestores de paz 😂🤦🏻‍♂️","In Colombia they are in congress, or they are peace managers 😂🤦🏻‍♂️",0.5423,positive,62,67,0.8039662259748919,0.15,0.1570048309178744,0.8039662259748919,0.15,0.1570048309178744
Y acá mejor eliminan los delitos para q no sean castigados o mejor aun los nombran gestores de paz 😂😂😂,"And here it is better to eliminate the crimes so that they are not punished or better yet, they are appointed peace managers 😂😂😂",0.8952,positive,102,128,1.0,0.25,0.3043478260869565,1.0,0.25,0.3043478260869565
"Un aplauso para el señor bukele ,ejemplo de gobernante ,no como el gobierno de Colombia !","A round of applause for Mr. Bukele, an example of a ruler, not like the Colombian government!",0.2458,positive,89,93,0.6392623041884236,0.2175,0.21980676328502416,0.6392623041884236,0.2175,0.21980676328502416
Que pensara este gobierno de Petro que es alcahuete sobretodo con la primera línea 🤦 😡,"What will this Petro government think that it is a pimp, especially with the front line 🤦 😡",0.0,neutral,86,91,0.5027219197866905,0.21,0.214975845410628,0.5027219197866905,0.21,0.214975845410628
Y petro dando bonos a delicuentes,And petro giving bonuses to criminals,0.3182,positive,33,37,0.6794800577713589,0.0775,0.08454106280193237,0.6794800577713589,0.0775,0.08454106280193237
"Pero que los dejen salir en la mañana y volver en la Noche , sino no es cárcel","But let them leave in the morning and come back at night, otherwise it's not jail",-0.0772,negative,78,81,0.4598377958004667,0.19,0.19082125603864733,0.4598377958004667,0.19,0.19082125603864733
Necesitamos varias de esas en Colombia …!!!,We need several of those in Colombia…!!!,0.0,neutral,43,40,0.5027219197866905,0.1025,0.09178743961352658,0.5027219197866905,0.1025,0.09178743961352658
"Construída en menos de un año, sin duda alguna el mejor presidente, que afortunados Los Salvadoreños, aquí en Colombia a los delicuentes los quieren dejar libres.","Built in less than a year, without a doubt the best president, how lucky the Salvadorans, here in Colombia they want to set criminals free.",0.1134,positive,162,139,0.5657149205643819,0.4,0.33091787439613524,0.5657149205643819,0.4,0.33091787439613524
Este man si me representa 👏🙌,This man does represent me 👏🙌,0.0,neutral,28,29,0.5027219197866905,0.065,0.06521739130434782,0.5027219197866905,0.065,0.06521739130434782
Nacionalicemos a este señor acá 👏,Let's nationalize this man here 👏,0.0,neutral,33,33,0.5027219197866905,0.0775,0.0748792270531401,0.5027219197866905,0.0775,0.0748792270531401
"Y aquí quieren soltar a las personas con delitos ""menores""... 🙄","And here they want to release people with ""minor"" crimes... 🙄",0.0772,positive,63,61,0.5456060437729142,0.1525,0.14251207729468598,0.5456060437729142,0.1525,0.14251207729468598
Y aquí con más recursos no es posible,And here with more resources it is not possible,0.0,neutral,37,47,0.5027219197866905,0.0875,0.10869565217391304,0.5027219197866905,0.0875,0.10869565217391304
Y en Colombia denles subsidios 😍😍😍🤣🤣🤣🤣🤡🤡🤡,And in Colombia give them subsidies 😍😍😍🤣🤣🤣🤣🤡🤡🤡,0.0,neutral,41,46,0.5027219197866905,0.0975,0.10628019323671498,0.5027219197866905,0.0975,0.10628019323671498
"y el 🤡🤡, de aca las quiere eliminar y quitar los delitos jajajaj😂😂😂","and the 🤡🤡, from here he wants to eliminate them and remove the crimes hahahaha 😂😂😂",0.0,neutral,67,83,0.5027219197866905,0.1625,0.1956521739130435,0.5027219197866905,0.1625,0.1956521739130435
Acá en Colombia sería de 400.000,"Here in Colombia it would be 400,000",0.0,neutral,32,36,0.5027219197866905,0.075,0.0821256038647343,0.5027219197866905,0.075,0.0821256038647343
Eso sí es un presidente!!👏👏👏👏,Now that's a president!!👏👏👏👏,0.0,neutral,29,28,0.5027219197866905,0.06749999999999999,0.06280193236714976,0.5027219197866905,0.06749999999999999,0.06280193236714976
Bukele la tiene clara,Bukele has it clear,0.3818,positive,21,19,0.7148094656149317,0.0475,0.041062801932367145,0.7148094656149317,0.0475,0.041062801932367145
A petro no le gusta esta noticia !,Petro does not like this news!,-0.3404,negative,34,30,0.31363181868681267,0.08,0.0676328502415459,0.31363181868681267,0.08,0.0676328502415459
te amo bebe 😍 @nayibbukele,I love you baby 😍 @nayibbukele,0.6369,positive,26,30,0.8565159426730364,0.060000000000000005,0.0676328502415459,0.8565159426730364,0.060000000000000005,0.0676328502415459
ESE ES EL PRESIDENTE QUE NECESITO AQUI EN COLOMBIA DIOS MIO MANDA UN MILAGRO,THIS IS THE PRESIDENT I NEED HERE IN COLOMBIA MY GOD SEND A MIRACLE,0.7096,positive,76,67,0.8969003444061772,0.185,0.1570048309178744,0.8969003444061772,0.185,0.1570048309178744
El Salvador es un paraíso,El Salvador is a paradise,0.6369,positive,25,25,0.8565159426730364,0.0575,0.05555555555555555,0.8565159426730364,0.0575,0.05555555555555555
"Me encanta , a los que hacen lo malo que paguen por sus errores! Así funcionan las cosas , admiro a este presidente @nayibbukele 👏🏼","I love it, those who do wrong pay for their mistakes! This is how things work, I admire this president @nayibbukele 👏🏼",0.3802,positive,131,118,0.7139206754805023,0.3225,0.2801932367149758,0.7139206754805023,0.3225,0.2801932367149758
A Petro le incómoda esto son 40 mil gestores de paz menos,"Petro is uncomfortable with this, there are 40,000 less peace managers",0.1548,positive,57,70,0.5887123652927453,0.1375,0.1642512077294686,0.5887123652927453,0.1375,0.1642512077294686
Y aquí el ministro no quiere hacer su trabajo y quiere soltar a los presos,And here the minister does not want to do his job and wants to release the prisoners,-0.5457,negative,74,84,0.19958893456282645,0.18,0.19806763285024154,0.19958893456282645,0.18,0.19806763285024154
Lo mismo deberían hacer aquí en Colombia 🇨🇴,They should do the same here in Colombia 🇨🇴,0.0,neutral,43,43,0.5027219197866905,0.1025,0.09903381642512077,0.5027219197866905,0.1025,0.09903381642512077
Este hombre es lo máximo!!,This man is the best!!,0.6988,positive,26,22,0.890901010998778,0.060000000000000005,0.04830917874396135,0.890901010998778,0.060000000000000005,0.04830917874396135
Una para Colombia 🇨🇴 🙌,One for Colombia 🇨🇴 🙌,0.0,neutral,22,21,0.5027219197866905,0.05,0.04589371980676328,0.5027219197866905,0.05,0.04589371980676328
Queremos un Bukele en colombia,We want a Bukele in Colombia,0.0772,positive,30,28,0.5456060437729142,0.06999999999999999,0.06280193236714976,0.5456060437729142,0.06999999999999999,0.06280193236714976
Allá en El Salvador si vivirán sabroso de verdad,There in El Salvador if they will live really tasty,0.0,neutral,48,51,0.5027219197866905,0.11499999999999999,0.11835748792270531,0.5027219197866905,0.11499999999999999,0.11835748792270531
Mientras en salvador los capturan y los procesan en colombia piensan en liberar 😂😂😂😂😂😂😂😂😂 mientras en El Salvador construyen meta cárceles en colombia piensan en remodelar las viejas 😂😂😂😂😂😂😂😂😂😂😂,"While in Salvador they are captured and processed in Colombia, they think about releasing them 😂😂😂😂😂😂😂😂😂 while in El Salvador they build meta-prisons in Colombia they think about remodeling the old ones",0.0,neutral,194,202,0.5027219197866905,0.48,0.4830917874396135,0.5027219197866905,0.48,0.4830917874396135
Este si los tiene bien puestos,This one does have them well placed,0.2732,positive,30,35,0.654482835240529,0.06999999999999999,0.07971014492753624,0.654482835240529,0.06999999999999999,0.07971014492753624
"Excelente. Que grande este presidente, calladito hace las cosas y pone al salvador al 10000.","Great. How great this president, quietly does things and puts the savior at 10,000.",0.8481,positive,92,83,0.9738362404177314,0.225,0.1956521739130435,0.9738362404177314,0.225,0.1956521739130435
"Que aprenda este gobierno, los delincuentes se castigan no se premian!!!","Let this government learn, criminals are punished, not rewarded!!!",-0.8808,negative,72,66,0.013442950783246366,0.175,0.15458937198067632,0.013442950783246366,0.175,0.15458937198067632
👏👏👏👏👏👏👏👏👏 que ejemplo,👏👏👏👏👏👏👏👏👏 what an example,0.0,neutral,21,25,0.5027219197866905,0.0475,0.05555555555555555,0.5027219197866905,0.0475,0.05555555555555555
Uff ese es el presidente que el país del sagrado Corazón necesita.,Uff that is the president that the country of the Sacred Heart needs.,0.0,neutral,66,69,0.5027219197866905,0.16,0.16183574879227053,0.5027219197866905,0.16,0.16183574879227053
Quisiera este presidente en colombia 🇨🇴,I would like this president in Colombia 🇨🇴,0.3612,positive,39,42,0.7033662926341518,0.0925,0.0966183574879227,0.7033662926341518,0.0925,0.0966183574879227
Lo que le hace falta a Colombia 😢,What Colombia needs 😢,0.0,neutral,33,21,0.5027219197866905,0.0775,0.04589371980676328,0.5027219197866905,0.0775,0.04589371980676328
"Pffff, en Colombia les pagan. 😎","Pffff, in Colombia they get paid. 😎",0.0,neutral,31,35,0.5027219197866905,0.0725,0.07971014492753624,0.5027219197866905,0.0725,0.07971014492753624
Y Acá los quieren liberar a todos 😢,And here they want to free them all 😢,0.5574,positive,35,37,0.8123541828685703,0.0825,0.08454106280193237,0.8123541828685703,0.0825,0.08454106280193237
El presi q necesita Colombia,The president that Colombia needs,0.0,neutral,28,33,0.5027219197866905,0.065,0.0748792270531401,0.5027219197866905,0.065,0.0748792270531401
"@nayibbukele vente un añito para acá pa colombia valesita, pero te aclaro acá tienes que construir como 5 de esas mismas carceles","@nayibbukele come here a year to Colombia valesita, but I clarify here you have to build like 5 of those same prisons",0.5023,positive,129,117,0.7817464726141541,0.3175,0.27777777777777773,0.7817464726141541,0.3175,0.27777777777777773
@gustavopetrourrego @franciamarquezm cojan ejemplo,@gustavopetrourrego @franciamarquezm take an example,0.0,neutral,50,52,0.5027219197866905,0.12,0.12077294685990339,0.5027219197866905,0.12,0.12077294685990339
Eso es lo que tiene que hacer aquí.,That's what you have to do here.,0.0,neutral,35,32,0.5027219197866905,0.0825,0.07246376811594203,0.5027219197866905,0.0825,0.07246376811594203
Mira !dioto @gustavopetrourrego,Look!dioto @gustavopetrourrego,0.0,neutral,31,30,0.5027219197866905,0.0725,0.0676328502415459,0.5027219197866905,0.0725,0.0676328502415459
Impuestos bien invertidos,taxes well spent,0.2732,positive,25,16,0.654482835240529,0.0575,0.033816425120772944,0.654482835240529,0.0575,0.033816425120772944
Lugar perfecto para los gestores de paz,Perfect place for peace managers,0.802,positive,39,32,0.9482279746694813,0.0925,0.07246376811594203,0.9482279746694813,0.0925,0.07246376811594203
Podemos pedir clones de (presidentes) para latm ya no queremos socialismo 😢,We can ask for clones of (presidents) for latm we don't want socialism anymore 😢,-0.0572,negative,75,80,0.4709476724808355,0.1825,0.18840579710144928,0.4709476724808355,0.1825,0.18840579710144928
Casa para 40 mil gestores de la “paz”,"House for 40 thousand ""peace"" managers",0.0,neutral,37,38,0.5027219197866905,0.0875,0.08695652173913043,0.5027219197866905,0.0875,0.08695652173913043
En Colombia la inauguran con la mitad de los funcionarios del gobierno 😂😂😂😂,In Colombia they inaugurate it with half of the government officials 😂😂😂😂,0.0,neutral,75,73,0.5027219197866905,0.1825,0.1714975845410628,0.5027219197866905,0.1825,0.1714975845410628
Que ejemplo eres presidente 👏👏 admiración total,What an example you are president 👏👏 total admiration,0.5423,positive,47,53,0.8039662259748919,0.1125,0.12318840579710144,0.8039662259748919,0.1125,0.12318840579710144
"Acá en Colombia 🇨🇴, deberían construir una así y ponerlos a trabajar, qué ellos emprendan desde allá","Here in Colombia 🇨🇴, they should build one like this and put them to work, what they undertake from there",0.3612,positive,100,105,0.7033662926341518,0.245,0.24879227053140093,0.7033662926341518,0.245,0.24879227053140093
En Colombia le dan un puesto,In Colombia they give him a position,0.0,neutral,28,36,0.5027219197866905,0.065,0.0821256038647343,0.5027219197866905,0.065,0.0821256038647343
El mejor presidente 👏👏👏,The best president 👏👏👏,0.6369,positive,23,22,0.8565159426730364,0.052500000000000005,0.04830917874396135,0.8565159426730364,0.052500000000000005,0.04830917874396135
Este man lo amo,I love this man,0.6369,positive,15,15,0.8565159426730364,0.0325,0.03140096618357488,0.8565159426730364,0.0325,0.03140096618357488
"Excelente. Cuando no se roban los recursos,el dinero alcanza para todo.","Great. When resources are not stolen, money is enough for everything.",0.7736,positive,71,69,0.9324519497833574,0.1725,0.16183574879227053,0.9324519497833574,0.1725,0.16183574879227053
EXCELENTE MARAVILLOSO... FELICITACIONES A TODO EL EQUIPO DE GOBIERNO LEGISLADORES JUECES Y MAGISTRADOS EN EL SALVADOR!!!,EXCELLENT WONDERFUL... CONGRATULATIONS TO THE ENTIRE GOVERNMENT TEAM LEGISLATORS JUDGES AND MAGISTRATES IN EL SALVADOR!!!,0.8582,positive,120,121,0.9794467281413177,0.295,0.28743961352657,0.9794467281413177,0.295,0.28743961352657
Quiero una así en Colombia!🤭🤭🤭,I want one like this in Colombia!🤭🤭🤭,0.4753,positive,30,36,0.7667481390956561,0.06999999999999999,0.0821256038647343,0.7667481390956561,0.06999999999999999,0.0821256038647343
APRENDE @gustavopetrourrego,LEARN @gustavopetrourrego,0.0,neutral,27,25,0.5027219197866905,0.0625,0.05555555555555555,0.5027219197866905,0.0625,0.05555555555555555
Regio.,Royal.,0.0,neutral,6,6,0.5027219197866905,0.009999999999999998,0.009661835748792268,0.5027219197866905,0.009999999999999998,0.009661835748792268
👏🙌🙌,👏🙌🙌,0.0,neutral,3,3,0.5027219197866905,0.0024999999999999996,0.002415458937198067,0.5027219197866905,0.0024999999999999996,0.002415458937198067
😍😍😍😍,😍😍😍😍,0.0,neutral,4,4,0.5027219197866905,0.005,0.004830917874396135,0.5027219197866905,0.005,0.004830917874396135
👏👏👏👏👏,👏👏👏👏👏,0.0,neutral,5,5,0.5027219197866905,0.007500000000000001,0.007246376811594203,0.5027219197866905,0.007500000000000001,0.007246376811594203
👏👏,👏👏,0.0,neutral,2,2,0.5027219197866905,0.0,0.0,0.5027219197866905,0.0,0.0
👌💯☺️🌹,👌💯☺️🌹,0.0,neutral,5,5,0.5027219197866905,0.007500000000000001,0.007246376811594203,0.5027219197866905,0.007500000000000001,0.007246376811594203
Venga pa acá bro que el de acá no tiene huevos,"Come here bro, the one here has no eggs",-0.296,negative,46,39,0.33829574491723147,0.11,0.08937198067632851,0.33829574491723147,0.11,0.08937198067632851
👏👏👏👏👏👏👏👏,👏👏👏👏👏👏👏👏,0.0,neutral,8,8,0.5027219197866905,0.015,0.014492753623188404,0.5027219197866905,0.015,0.014492753623188404
"Cómo amo a ese señor, ¿Será que no se quiere nacionalizar? Le damos ajiaco gratis 🥹","How I love that man, could it be that he does not want to be nationalized? We give you ajiaco for free 🥹",0.8062,positive,83,104,0.9505610487723588,0.2025,0.2463768115942029,0.9505610487723588,0.2025,0.2463768115942029
Lo que deberían estar construyendo acá en vez de dejarlos libres @davidvasquezm,What they should be building here instead of leaving them free @davidvasquezm,0.5106,positive,79,77,0.7863570714365071,0.1925,0.18115942028985507,0.7863570714365071,0.1925,0.18115942028985507
Ejemplo!!!! 💗,Example!!!! 💗,0.0,neutral,13,13,0.5027219197866905,0.0275,0.026570048309178744,0.5027219197866905,0.0275,0.026570048309178744
"A petro no le gusta esto, de hecho le da nauseas 🤮","Petro doesn't like this, in fact it makes him nauseous 🤮",-0.2755,negative,50,56,0.34968336851460957,0.12,0.13043478260869565,0.34968336851460957,0.12,0.13043478260869565
👏👏👏,👏👏👏,0.0,neutral,3,3,0.5027219197866905,0.0024999999999999996,0.002415458937198067,0.5027219197866905,0.0024999999999999996,0.002415458937198067
La llena en dos días jajajaja,He fills it up in two days hahahaha,0.0,neutral,29,35,0.5027219197866905,0.06749999999999999,0.07971014492753624,0.5027219197866905,0.06749999999999999,0.07971014492753624
"Ese es el presidente que necesita Colombia , para que acabe con tanga corrupción","That is the president that Colombia needs, to put an end to corruption",0.0,neutral,80,70,0.5027219197866905,0.195,0.1642512077294686,0.5027219197866905,0.195,0.1642512077294686
"El comienzo de los campos de concentracion también fue así. Primero hicieron la infraestructura, despues convencieron al pueblo que era para los criminales y al final el dictador ""definía"" quien era criminal y quien no - hasta que mataban a todo el que iba encontra de su ideologia. Que en Colombia pidan algo igual, muestra la falta de conocimiento y pensamiento critico de gran parte de la población.","The beginning of the concentration camps was also like this. First they built the infrastructure, then they convinced the people that it was for criminals and in the end the dictator ""defined"" who was criminal and who was not-until they killed everyone who went against his ideology. That in Colombia they ask for something similar shows the lack of knowledge and critical thinking of a large part of the population.",-0.9001,negative,402,416,0.002721919786690452,1.0000000000000002,1.0,0.002721919786690452,1.0000000000000002,1.0
Hoy conocí la envidia 😢,Today I met envy 😢,-0.2732,negative,23,18,0.350961004332852,0.052500000000000005,0.03864734299516908,0.350961004332852,0.052500000000000005,0.03864734299516908
Definitivamente tenemos el peor presidente de toda la historia de Colombia... Bukele dando ejemplo 👏👏,We definitely have the worst president in the entire history of Colombia... Bukele setting an example 👏👏,-0.34,negative,101,104,0.31385401622042,0.2475,0.2463768115942029,0.31385401622042,0.2475,0.2463768115942029
Llenar cárceles no resuelve el problema en el fondo :/ hay que invertir para crear más oportunidades a la gente y así mejorar las situaciones socioeconómicas,Filling prisons does not solve the problem in the end :/ we must invest to create more opportunities for people and thus improve socioeconomic situations,0.7318,positive,157,153,0.9092323075213866,0.3875,0.36473429951690817,0.9092323075213866,0.3875,0.36473429951690817
Excelente 👏👏👏👏👏,Excellent 👏👏👏👏👏,0.5719,positive,15,15,0.8204088434618377,0.0325,0.03140096618357488,0.8204088434618377,0.0325,0.03140096618357488
👏👏👏👏👏,👏👏👏👏👏,0.0,neutral,5,5,0.5027219197866905,0.007500000000000001,0.007246376811594203,0.5027219197866905,0.007500000000000001,0.007246376811594203
"Por favor derechos humanos, esos gestores de paz necesitan ayuda😭","Please human rights, those peace managers need help 😭",0.8176,positive,65,53,0.9568936784801689,0.1575,0.12318840579710144,0.9568936784801689,0.1575,0.12318840579710144
Y acá en Colombia les dan curules y un millón mensuales 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣,And here in Colombia they give them seats and a million a month,0.0,neutral,71,63,0.5027219197866905,0.1725,0.1473429951690821,0.5027219197866905,0.1725,0.1473429951690821
Ese si es un precidente y un verdadero cambio para un país no como el payaso que montaron acá en Colombia que el único que está viviendo sabroso es el y su familia,That if he is a president and a real change for a country not like the clown that they set up here in Colombia that the only one who is living well is him and his family,-0.0026,negative,163,169,0.5012776358182425,0.4025,0.40338164251207725,0.5012776358182425,0.4025,0.40338164251207725
El presidente que necesitamos,The president we need,0.0,neutral,29,21,0.5027219197866905,0.06749999999999999,0.04589371980676328,0.5027219197866905,0.06749999999999999,0.04589371980676328
Excelente,Great,0.6249,positive,9,5,0.8498500166648151,0.017499999999999998,0.007246376811594203,0.8498500166648151,0.017499999999999998,0.007246376811594203
