es,en,scores,qualify
Aca petro los quiere sacar de las carceles y pagarles de nuestros impuestos un salario.,Here Petro wants to get them out of prison and pay them a salary from our taxes.,-0.5719,negative
"Aquí los dejan en libertad con salario de 1 millón (gestores de paz), @gustavopetrourrego toma nota como se gobierna no es solo twitter","Here they are released with a salary of 1 million (peace managers), @gustavopetrourrego take note of how it is governed, it is not just twitter",0.0,neutral
"Ojalá fueran un ejemplo de superación, ayudarles a desarrollar capacidades para la vida, cárceles funcionales, @johana_bahamon_ ejemplo aquí ⚡🙌","I wish they were an example of improvement, help them develop skills for life, functional prisons, @johana_bahamon_ example here ⚡🙌",0.8126,positive
Este hombre es lo máximo!!,This man is the best!!,0.6988,positive
👏👏👏👏👏👏 lo que este país necesita pa q dejen de inventarse los gestores de paz 🙄🙄,👏👏👏👏👏👏 what this country needs to stop inventing peace managers 🙄🙄,0.3182,positive
Se necesita su asesoría urgente por los países latinos 🙌💯@nayibbukele,Your urgent advice is needed for Latin countries 🙌💯@nayibbukele,0.2023,positive
Aquí los 40mil serían políticos y les rendimos pleitesía,Here the 40 thousand would be politicians and we pay homage to them,-0.1027,negative
Con terroristas no se negocea👏 aqui que los grupos armados han hecho mil veces lo mismo que es desmovilizar cabecillas mientras se deja un brazo armado a titulo de dicidencias no dejan de delinquir ni narcotraficar y usan el vehiculo de la paz para canar territorio y fortalecerse.Les siguen creyendo ese cuento de paz.,"You don't negotiate with terrorists 👏 here that the armed groups have done the same thing a thousand times, which is to demobilize leaders while leaving an armed arm as a decision, they do not stop committing crimes or drug trafficking and use the vehicle of peace to destroy territory and strengthen themselves. They continue to believe that tale of peace.",0.8677,positive
"Lo mismo, que toca hacer en colombia para que los jueces no salgan diciendo , que no hay lugar en las cárceles y dejarlos de nuevo en libertad.","The same thing, which has to be done in Colombia so that the judges do not come out saying that there is no place in prisons and let them go free again.",0.2732,positive
La violencia si es controlada todo será más fácil y todos tomaran conciencia 👏,"If violence is controlled, everything will be easier and everyone will become aware 👏",-0.3182,negative
@gustavopetrourrego y si tomamos nota?,@gustavopetrourrego and if we take note?,0.0,neutral
Larga vida señor Bukele 🙏 👏,Long live Mr. Bukele 🙏 👏,0.0,neutral
"Y en Colombia buscando liberar los presos porque se quieren suicidar. Pero y sus víctimas que, Pasaran a ser victimarios?

Además de liberarlos quieren también convertirlos en gestores de paz? Que chimba de gobierno el que nos pusieron 🤡","And in Colombia seeking to release the prisoners because they want to commit suicide. But what about their victims, who will become victimizers?

In addition to freeing them, do you also want to turn them into peace managers? What a government chimba they put us on 🤡",0.2982,positive
Ya no es el sueño americano sino el sueño Salvadoreño 👏,It is no longer the American dream but the Salvadoran dream 👏,0.34,positive
Habrá alguna forma de nacionalizar a Bukele??? Lo necesitamos Urgente!!!,Will there be any way to nationalize Bukele??? We need it urgently!!!,0.0,neutral
El Salvador es un paraíso,El Salvador is a paradise,0.6369,positive
"Construída en menos de un año, sin duda alguna el mejor presidente, que afortunados Los Salvadoreños, aquí en Colombia a los delicuentes los quieren dejar libres.","Built in less than a year, without a doubt the best president, how lucky the Salvadorans, here in Colombia they want to set criminals free.",0.1134,positive
Espectacular... y acá los quieren dejar libres para que no se depriman.,Spectacular... and here they want to set them free so they don't get depressed.,0.7432,positive
Un crack!!!!!🔥🔥🔥🔥,A crack !!!!!🔥🔥🔥🔥,0.0,neutral
"En Colombia ser pillo, ampon, sicario etc. Paga....","In Colombia, being a crook, an ampon, a hit man, etc. Pay....",0.0,neutral
@gustavopetrourrego sr presidente aprenda de este joven con sus ideas del siglo XXI,@gustavopetrourrego sr president learn from this young man with his 21st century ideas,0.0,neutral
Una para Colombia 🇨🇴 🙌,One for Colombia 🇨🇴 🙌,0.0,neutral
👏👏👏👏 tomen ejemplo de cómo se cambia un país.,👏👏👏👏 take an example of how a country is changed.,0.0,neutral
Vea @gustavopetrourrego cojaaaa ejemplo 🤡😒,See @gustavopetrourrego take an example 🤡😒,0.0,neutral
Acá en Colombia sería de 400.000,"Here in Colombia it would be 400,000",0.0,neutral
En colombia los dejan libres y les pagan,In Colombia they are released and paid,0.0,neutral
Y a qui quieren dejar libre a todos 🤣🤣🤣,And who do they want to set everyone free 🤣🤣🤣,0.5574,positive
Y si exportamos gestores de paz? 🤔,And if we export peace managers? 🤔,0.5423,positive
Podemos pedir clones de (presidentes) para latm ya no queremos socialismo 😢,We can ask for clones of (presidents) for latm we don't want socialism anymore 😢,-0.0572,negative
"Pero que los dejen salir en la mañana y volver en la Noche , sino no es cárcel","But let them leave in the morning and come back at night, otherwise it's not jail",-0.0772,negative
Lugar perfecto para los gestores de paz,Perfect place for peace managers,0.802,positive
Queremos un Bukele en colombia,We want a Bukele in Colombia,0.0772,positive
Cuando no se roban los recursos 👏,When resources are not stolen 👏,0.3875,positive
Mientras el gobierno petro pensando dejar libre a los delicuentes con salario mínimo,While the petro government is thinking of letting criminals go free with minimum wage,-0.1027,negative
"En colombia los soltamos, les pagamos y les regalamos el pais","In Colombia we release them, we pay them and we give them the country as a gift",0.3612,positive
"Mientras tanto en Colombia, proponiendo que algunos delitos dejen de ser llamados delitos para que muchos angelitos no sean llamados delincuentes 😂😂😂","Meanwhile in Colombia, proposing that some crimes stop being called crimes so that many little angels are not called criminals 😂😂😂",0.2018,positive
"La construyen en Colombia y vale tres veces más, se la entregan al inpec y comienza la mafia..celulares, televisores, extorsión desde la cárcel, etc","They build it in Colombia and it is worth three times more, they hand it over to the inpec and the mafia begins... cell phones, televisions, extortion from jail, etc.",0.6573,positive
"Por favor derechos humanos, esos gestores de paz necesitan ayuda😭","Please human rights, those peace managers need help 😭",0.8176,positive
Eso sí es un presidente!!👏👏👏👏,Now that's a president!!👏👏👏👏,0.0,neutral
Hoy conocí la envidia 😢,Today I met envy 😢,-0.2732,negative
Jajajaj petro y la mujer en vez de ir donde si hay progreso y ejemplo. se van de turismo donde los súper amiguis los que destruyen naciones y se llenan los bolsillos con la plata de él pueblo. Y los pretristas lo aplauden como si fuera la gran cosa. Grande@nayibbukele. Así se hace👏👏👏👏,Hahaha Petro and the woman instead of going where there is progress and example. they go on a tour where the super friends who destroy nations and fill their pockets with the people's money. And the pretistas applaud it as if it were a big deal. Grande@nayibbukele. That's how it's done👏👏👏👏,0.9169,positive
Que envidia ese tremendo presidente que tienen allá.,How envious of that tremendous president they have there.,-0.2732,negative
El presi q necesita Colombia,The president that Colombia needs,0.0,neutral
"Cómo amo a ese señor, ¿Será que no se quiere nacionalizar? Le damos ajiaco gratis 🥹","How I love that man, could it be that he does not want to be nationalized? We give you ajiaco for free 🥹",0.8062,positive
Colombia necesita 2 o 4 de esas,Colombia needs 2 or 4 of those,0.0,neutral
Quisiera este presidente en colombia 🇨🇴,I would like this president in Colombia 🇨🇴,0.3612,positive
"Y si decimos como el nuestro: Si no le decimos pandilleros, no serán pandilleros. Ahhhhhhh son Gestores de Paz","And if we say like ours: If we don't call them gang members, they won't be gang members. Ahhhhhhh they are Peace Managers",0.7184,positive
Ese man me prueba la 🍲,That man proves me the 🍲,0.0,neutral
Este señor es un teso!! 👏🏼👏🏼👏🏼👏🏼👏🏼👏🏼,This gentleman is a treasure!! 👏🏼👏🏼👏🏼👏🏼👏🏼👏🏼,0.4184,positive
El presidente que necesitamos,The president we need,0.0,neutral
Y Mientras aquí en colombia ?,And while here in Colombia?,0.0,neutral
Y acá pensando en soltarlos y pagarles jajajaja,And here thinking about releasing them and paying them hahahaha,0.0,neutral
Y aquí soltándolos! Y dándoles permiso para que salgan y vuelvan 🤣,And here releasing them! And giving them permission to go out and come back 🤣,0.4003,positive
Tan sencillo que es hacer las cosas bien! 👏👏,It's so easy to do things right! 👏👏,0.54,positive
"Evidentemente no tienen ni idea de sociología jurídica, más cárceles no es la solución, hay que tratar el problema de fondo,aumentar las oportunidades, fomentar el empleo y la educación, tratar el problema de fondo. En fin, populismo.","Obviously they have no idea of ​​legal sociology, more prisons is not the solution, we must deal with the underlying problem, increase opportunities, promote employment and education, address the underlying problem. Finally, populism.",-0.2644,negative
"Así es que es, y comida una sola vez al día.","That's how it is, and eaten only once a day.",0.0,neutral
El presidente que necesita Colombia,The president that Colombia needs,0.0,neutral
@yeanpiere_cuesta,@yeanpiere_cuesta,0.0,neutral
Lo que le hace falta a Colombia 😢,What Colombia needs 😢,0.0,neutral
Medieval,Medieval,0.0,neutral
👏🙌🙌,👏🙌🙌,0.0,neutral
😍😍😍😍,😍😍😍😍,0.0,neutral
👏👏👏👏👏,👏👏👏👏👏,0.0,neutral
En Colombia ya son gestores de paz 🤣😕,In Colombia they are already peace managers 🤣😕,0.5423,positive
En colombia serian 40 mil millones de pesos mensuales para nuestros queridos gestores de paz ☺️,In Colombia it would be 40 billion pesos per month for our beloved peace managers ☺️,0.7783,positive
Acá tenemos a Barrabas pero de Presi. Soltando reos y a toda su cúpula de Amiguis,Here we have Barrabas but from Presi. Releasing inmates and their entire dome of Amiguis,0.0,neutral
Necesitamos un bukele aquí Q mande al hmno.,We need a bukele here. Send the brother.,0.0,neutral
mientras tanto en Colombia sí reducimos lo que consideramos criminal entonces hay menos criminales,meanwhile in Colombia we do reduce what we consider criminal so there are fewer criminals,-0.7964,negative
Este hombre Nayib Bukele es mi ídolo,This man Nayib Bukele is my idol,0.0,neutral
No olvidemos que el fin de la pena es la resocializacion.,Let's not forget that the end of the penalty is resocialization.,-0.3257,negative
Yo pensando que petro sería igual que él 🤡😂,Me thinking that petro would be the same as him 🤡😂,0.0,neutral
👏👏👏👏👏,👏👏👏👏👏,0.0,neutral
Aquí en Colombia una de esas se llena en un momentico,Here in Colombia one of those fills up in a moment,0.0,neutral
En Colombia la solución al hacinamiento en las cárceles es dar libertades a los presos y quitarle el carácter de delito a algunas conductas que actualmente lo son.,"In Colombia, the solution to overcrowding in prisons is to give prisoners freedom and remove the character of a crime from some behaviors that currently are.",-0.0772,negative
👏👏 eso es lo qué hay que hacer en Colombia por lo menos unas 10 y pare de contar.,👏👏 that's what you have to do in Colombia at least 10 and stop counting.,-0.296,negative
😍😍 ! Y aquí llamándolos voceros de paz y pagándoles.,😍😍! And here calling them spokesmen for peace and paying them.,0.5848,positive
Porque no tenemos un presidente así 😪,Because we don't have a president like that 😪,-0.2755,negative
Es el presidente que queremos en Colombia 🇨🇴,He is the president we want in Colombia 🇨🇴,0.0772,positive
"Mientras el des-gobierno colombiano actual le tiende la mano a la primera línea, a los guerrilleros, a los narcos y van al narco-dictador gobierno de Venezuela a pedir asesoría y compartir experiencias en temas sociales 🤡🤡🤡","While the current Colombian mis-government reaches out to the front line, to the guerrillas, to the drug traffickers and they go to the narco-dictator government of Venezuela to ask for advice and share experiences on social issues 🤡🤡🤡",0.34,positive
"Y en Colombia los ponen de “gestores de paz” queee bonito país en el que vivimos, Colombia tierra querida 🙄","And in Colombia they call them ""peace managers"" what a beautiful country we live in, Colombia dear land 🙄",0.875,positive
👏👏👏👏,👏👏👏👏,0.0,neutral
"Aqui les dan pensión, les dan empleo y les dicen ""Gestores de paz"". 🤑🤑🤑🤑","Here they give them a pension, they give them jobs and they call them ""peace managers."" 🤑🤑🤑🤑",0.5423,positive
"Cuando se quiere se puede, y colombia lo que tiene es territorio para construir cárceles lejanas de la ciudad donde de verdad paguen una condena. BUKELE DALE UNAS CLASES A ESTE GOBIERNO.","When you want you can, and what Colombia has is territory to build prisons far from the city where they really pay a sentence. BUKELE GIVE THIS GOVERNMENT SOME CLASSES.",0.0478,positive
Quiero ser Salvadoreña!😢💔,I want to be Salvadoran!😢💔,0.1511,positive
Y aquí los quieren soltar y andan jodiendo a los de inDriver 🤡🤡🤡 SOMOS UN PAÍS DE PAYASOS GOBERNANTES 🤡🤡🤡,And here they want to release them and they are screwing those of inDriver 🤡🤡🤡 WE ARE A COUNTRY OF GOVERNING CLOWNS 🤡🤡🤡,-0.1531,negative
Sera que este man no quiere ser presidente de colombia 👏👏👏 te amo nayib,It will be that this man does not want to be president of Colombia 👏👏👏 I love you nayib,0.6096,positive
@gustavopetrourrego siéntate y observa,@gustavopetrourrego sit back and watch,0.0,neutral
🙌,🙌,0.0,neutral
Necesitamos uno en colombia 🙏🏼🙏🏼🙏🏼,We need one in Colombia 🙏🏼🙏🏼🙏🏼,0.0,neutral
"👏👏👏 el mejor presidente, lo que colombia necesita.","👏👏👏 the best president, what Colombia needs.",0.6369,positive
Te propongo un sueño 😍 @gustavopetrourrego 🙌,I propose a dream 😍 @gustavopetrourrego 🙌,0.25,positive
Y aqui los quieren sacar a producir en el dia. Y dormir encarcelados de castigo.,And here they want to take them out to produce in the day. And sleep imprisoned for punishment.,-0.7096,negative
Deberia ser presidente de America Latina,I should be president of Latin America,0.0,neutral
Qué envidia 😢,What envy 😢,-0.2732,negative
Y aquí hablan con ellos,And here they talk to them,0.0,neutral
👏👏,👏👏,0.0,neutral
"Ojalá algún día exista un mandatario así en Colombia, lastima que ahora tenemos a un guerrillero y leguleyo.","Hopefully one day there will be a president like that in Colombia, it's a pity that now we have a guerrilla and a lawyer.",0.4588,positive
Pero en Colombia se llama gestores de Paz 💅🏻,But in Colombia it is called peace managers 💅🏻,0.6956,positive
Este señor sí que sabe gobernar 👏,This gentleman does know how to govern 👏,0.0,neutral
@gustavopetrourrego una idea pa tanto gamin en Colombia,@gustavopetrourego an idea for both games in Colombia,0.0,neutral
Se imaginan en vez de esa maravillosa carcel...8 ..mega colegios...??....,Can you imagine instead of that wonderful jail...8 ..mega schools...??....,0.6199,positive
@gustavopetrourrego aprende,@gustavopetrourrego learns,0.0,neutral
Acá les vamos a hacer un Eco Hotel,Here we are going to make you an Eco Hotel,0.0,neutral
Los fachitos dando like en 3…2…1,The fachitos giving like in 3…2…1,0.5994,positive
Se podrán decir muchas cosas pero el pueblo salvadoreño tiene seguridad,"Many things can be said, but the Salvadoran people have security",0.4767,positive
Ejemplo latinoamericano!,Latin American example!,0.0,neutral
En colombia los quieren sacar de la cárcel y darles pensión 😂,In Colombia they want to get them out of jail and give them a pension 😂,0.0772,positive
"@gustavopetrourrego APRENDA!!!! Te lo rogamos, aprenda lo que es estar en pro de la seguridad del pueblo! Que te cuesta viejo? 😭😭😭😭","@gustavopetrourrego LEARN!!!! We beg you, learn what it is to be in favor of the safety of the people! What's wrong with you old man? 😭😭😭😭",0.5526,positive
Coge gárgara @gustavopetrourrego,Take a gargle @gustavopetrourrego,0.0,neutral
Y el de acá … quiere meter preso a los que hacen UBER y liberar por la mañana a los bandidos y tras de eso darles un pago mensual 😂👏👏👏 #polombia,And the one here... wants to put those who do UBER in jail and release the bandits in the morning and after that give them a monthly payment 😂👏👏👏 #polombia,0.0,neutral
👏👏,👏👏,0.0,neutral
👏👏👏👏,👏👏👏👏,0.0,neutral
"Ese es el presidente que necesita Colombia, será posible elegirlo 😍","That is the president that Colombia needs, it will be possible to elect him 😍",0.0,neutral
"Allá los educan y acá los sacan y les dan plata pero sin educarlos , Perro no fue a esa clase por estar en la cárcel ….","They educate them there and here they take them out and give them money but without educating them, Perro did not go to that class because he was in jail….",0.0,neutral
Este si las tiene bien puestas !,This one has them on well!,0.3382,positive
Ídolo! 👏🏻,Idol! 👏🏻,0.0,neutral
"Pues muy bien, también Tendrían que trabajar para que se ganen la papita, sembrando, cosechando que no sea gratis su estadía en la prisión","Well, very well, they would also have to work so that they earn their chips, sowing, reaping so that their stay in prison is not free.",-0.363,negative
Lo que le hace falta realmente a este país,What does this country really need?,0.0,neutral
Y petro nombrando gestores de paz ! 😂,And Petro appointing peace managers! 😂,0.5848,positive
"Que envidia tener un presidente así! El que tenemos acá premia a los chirretes, y los quiere sacar de la cárcel. Y los petristas contentos con esa vaina.","How envious to have a president like that! The one we have here rewards the chirretes, and wants to get them out of jail. And the petristas happy with that pod.",0.8172,positive
Hay necesitamos una urgente en Colombia,There is an urgent need in Colombia,0.2023,positive
"@gustavopetrourrego Aprenda! Justicia sin impunidad, esto es lo que necesitamos!!","@gustavopetrourrego Learn! Justice without impunity, this is what we need!!",0.6458,positive
una así solo para Cali 👏👏👏,one like this only for Cali 👏👏👏,0.3612,positive
Tráiganlos a Colombia. Aquí serían gestores de paz 🤡🎪,Bring them to Colombia. Here they would be peace managers 🤡🎪,0.5423,positive
Así es que es!,That's how it is!,0.0,neutral
Mas bukele en el mundo por favor,More bukele in the world please,0.3182,positive
Aquí pensando en dejarlos libres en colombia y con subsidio “gestores de paz”,"Here thinking about letting them go free in Colombia and with a subsidy ""peace managers""",0.7783,positive
"A este man le critican muchas cosas, pero vaya que es diciendo y haciendo","This man is criticized for many things, but what is he saying and doing",-0.1901,negative
Este hombre es un ejemplo para el mundo de dedicación y compromiso!.. sobre todo! De poner primeramente a Dios ante cualquier situación 👏🙌❤️❤️,This man is an example to the world of dedication and commitment!.. above all! To put God first in any situation 👏🙌❤️❤️,0.3987,positive
Ese man nunca dejará de ser presidente,That man will never stop being president,0.2235,positive
Y Gustavito que los va a sacar todos los fines de semana a que hagan sus labores delictivas…,"And Gustavito, who is going to take them out every weekend to do their criminal work...",-0.5267,negative
👏,👏,0.0,neutral
Mi presi de otro país 🫶,My president from another country 🫶,0.0,neutral
Desde ya a buscar un Bukele en Colombia para dentro de tres anos!!! 🙏,From now on to look for a Bukele in Colombia for three years from now!!! 🙏,0.0,neutral
Este Man es todo lo que está bien en materia política 👏,This Man is everything that is right in political matters 👏,0.0258,positive
A Petro no le gusta esto😂😂😂,Petro doesn't like this😂😂😂,-0.2755,negative
El presidente que uno sueña 😍🤩 @cjaram30,The president that one dreams of 😍🤩 @cjaram30,0.4019,positive
Un presidente asi para colombia por favor,A president like this for Colombia please,0.5859,positive
Jajaja y nuestro presidente más bien sacando los presos,Hahaha and our president rather taking out the prisoners,0.0772,positive
Y aquí los quieren soltar 🤡🤡🤡,And here they want to release them 🤡🤡🤡,0.0772,positive
@gustavopetrourrego coje ejemplo y tú buscando gestores de paz,@gustavopetrourrego take an example and you are looking for peace managers,0.5423,positive
Tomen ejemplo,take example,0.0,neutral
Me encanta este presidente😍👏👏👏👏,I love this president😍👏👏👏👏,0.6369,positive
Bukele te necesitamos en colombia,Bukele we need you in Colombia,0.0,neutral
🔥🔥🔥,🔥🔥🔥,0.0,neutral
@gustavopetrourrego aprende de tu padre,@gustavopetrourrego learn from your father,0.0,neutral
Necesitamos un presidente así para colombia,We need a president like that for Colombia,0.3612,positive
Así es que es 👏!! Diciendo y haciendo ! No como otros que lo único que saben hacer es hablar 💩 y engañar a los incautos 🫠,"That's how it is 👏!! Saying and doing! Unlike others, the only thing they know how to do is talk 💩 and deceive the unwary 🫠",-0.5538,negative
Este man si está claro 💯,This man is clear 💯,0.3818,positive
Ese man es la v.e.r.g.a👏🏻,That man is the v.e.r.g.a👏🏻,0.0,neutral
"Allá los quieren apaciguar, acá les diremos ""Gestores de Paz"" con sueldo incluido.","There they want to appease them, here we will call them ""Peace Managers"" with salary included.",0.7096,positive
"Cuando no se roban el dinero, alcanza! Ojalá sea un lugar de resocialización y cambios, el castigo es la consecuencia de sus actos, pero ojalá sea una oportunidad para que las personas valoren su vida y aprendan a vivir en sociedad sin lastimar a nadie 👏👏👏👏👏","When the money is not stolen, reach! Hopefully it will be a place of resocialization and changes, punishment is the consequence of their actions, but hopefully it will be an opportunity for people to value their lives and learn to live in society without hurting anyone 👏👏👏👏👏",0.9114,positive
Q man tan mostro 👏👏,What a man so showed 👏👏,0.0,neutral
Y acá quieren sacarlos jajajjs,And here they want to take them out hahaha,0.5994,positive
"Importante construccion, habría pues que garantizar los DDHH en el marco de evitar la violación de derechos en el afán de castigar la delincuencia. Supongo que esa cárcel también va de la mano con una aplicación rigurosa y bien cuidada de la justicia, se esperaría que sí... Hay que recordar que, aún delante del más nefasto criminal, el estado debe comportarse como estado y garantizar un debido proceso. El estado no se comporta como se comportan los criminales.","Important construction, it would therefore be necessary to guarantee human rights in the framework of avoiding the violation of rights in an effort to punish crime. I suppose that this jail also goes hand in hand with a rigorous and well-cared application of justice, one would hope so... It must be remembered that, even in the face of the most nefarious criminal, the state must behave as a state and guarantee due process . The state does not behave as criminals behave.",0.3004,positive
"Epa, más cárceles, así se hace, para problemas complejos soluciones simplistas a la lata 😍. Eso nunca sale mal 👏","Hey, more jails, that's how it's done, for complex problems, simplistic solutions to the can 😍. That never goes wrong 👏",0.1416,positive
En Colombia les ponen salario y los llaman gestores de paz jaja,In Colombia they get a salary and they call them peace managers haha,0.7579,positive
Estoy a esto 🤏🏽 de irme pa El Salvador 😬,I'm this far 🤏🏽 from leaving for El Salvador 😬,0.0,neutral
Ídolo,Idol,0.0,neutral
Exactamente eso es lo que hay que hacer en este país,That's exactly what you have to do in this country.,0.0,neutral
TODOS A ETIQUETAR A PETRO🔥,EVERYONE TAG PETRO🔥,0.0,neutral
Mientras aquí en Colombia Petro libera a los ampones vea lo que hace Bukele ! Aprenda Petro,"While here in Colombia Petro frees the ampons, see what Bukele does! Learn Petro",0.3595,positive
Puesss toca mirar cual será su programa de rehabilitación y reincorporación a la sociedad 🙏,"Well, it's time to see what your rehabilitation and reintegration program will be 🙏",0.2732,positive
👏👏👏👏,👏👏👏👏,0.0,neutral
👏🏼👏🏼👏🏼👏🏼👏🏼👏🏼👏🏼👏🏼 @nayibbukele,👏🏼👏🏼👏🏼👏🏼👏🏼👏🏼👏🏼👏🏼 @nayibbukele,0.0,neutral
Aprenda Petro 👏,Learn Petro 👏,0.0,neutral
"Deberían hacer una en la guajira en la mitad de la nada , a se los coma el calor a ver si les dan ganas de regresar a delinquir","They should do one in La Guajira in the middle of nowhere, the heat will eat them up and see if they want to go back to committing crimes.",0.1531,positive
Y acá la solución es soltarlos!!!,And here the solution is to release them!!!,0.4898,positive
